"","EMPLOYMENT.STATUS","GENDER"
"636","Employed full time","Prefer not to say"
"637","Employed full time","Man"
"638","Employed full time","Man"
"640","Full time student","Man"
"641","Full time student","Man"
"643","Employed full time","Man"
"646","Employed full time","Man"
"648","Full time student","Man"
"651","Full time student","Man"
"652","Employed full time","Man"
"655","Employed full time","Man"
"656","Employed full time","Man"
"658","Temporarily not working","Man"
"659","Employed full time","Man"
"661","Employed full time","Prefer not to say"
"663","Employed full time","Man"
"664","Employed full time","Man"
"665","Employed full time","Man"
"666","Temporarily not working","Man"
"667","Employed part time","Man"
"672","Employed full time","Man"
"673","Employed full time","Man"
"674","Employed full time","Man"
"676","Employed full time","Man"
"677","Employed part time","Man"
"681","Employed full time","Man"
"682","Full time student","Man"
"683","Employed full time","Man"
"684","Employed full time","Man"
"686","Employed full time","Man"
"687","Full time student","Man"
"689","Full time student","Man"
"691","Employed full time","Man"
"694","Employed full time","Man"
"695","Full time student","Man"
"698","Employed full time","Man"
"701","Other - please describe","Man"
"702","Employed full time","Prefer not to say"
"703","Employed full time","Man"
"706","Employed full time","Man"
"708","Full time student","Man"
"710","Employed full time","Man"
"711","Employed full time","Man"
"715","Full time student","Man"
"717","Employed full time","Man"
"718","Employed full time","Man"
"721","Temporarily not working","Man"
"722","Employed full time","Woman"
"723","Employed full time","Man"
"726","Full time student","Man"
"730","Full time student","Man"
"734","Employed full time","Man"
"735","Employed full time","Man"
"736","Employed full time","Man"
"737","Full time student","Prefer not to say"
"739","Other - please describe","Man"
"741","Employed full time","Prefer not to say"
"743","Employed full time","Man"
"746","Employed full time","Man"
"749","Employed full time","Man"
"750","Full time student","Man"
"754","Employed full time","Man"
"758","Employed full time","Man"
"759","Employed full time","Man"
"761","Employed full time","Man"
"762","Employed full time","Man"
"764","Employed full time","Man"
"767","Full time student","Man"
"768","Employed full time","Man"
"770","Employed full time","Man"
"772","Employed full time","Man"
"773","Employed full time","Man"
"774","Employed full time","Man"
"775","Employed full time","Man"
"781","Full time student","Man"
"783","Employed full time","Man"
"784","Employed full time","Man"
"785","Employed full time","Man"
"786","Full time student","Man"
"790","Temporarily not working","Man"
"791","Employed full time","Man"
"792","Full time student","Man"
"793","Employed full time","Man"
"794","Employed full time","Man"
"795","Employed full time","Man"
"797","Employed full time","Man"
"798","Full time student","Man"
"799","Employed full time","Man"
"801","Employed full time","Man"
"806","Employed full time","Man"
"807","Employed full time","Man"
"808","Employed full time","Man"
"809","Employed part time","Man"
"810","Employed full time","Man"
"811","Employed full time","Man"
"813","Temporarily not working","Woman"
"815","Full time student","Man"
"816","Employed full time","Man"
"817","Full time student","Man"
"818","Other - please describe","Man"
"819","Employed full time","Man"
"821","Employed full time","Man"
"822","Employed full time","Man"
"823","Employed full time","Man"
"824","Employed full time","Woman"
"826","Full time student","Man"
